External code,Vendor,Centre,Dataset,Dice_BG,Dice_LV,Dice_MYO,Dice_RV,IoU_BG,IoU_LV,IoU_MYO,IoU_RV,HD_BG,HD_LV,HD_MYO,HD_RV
C8I7P7,B,2,Valid,0.9903402328491211,0.9599751830101013,0.8684802055358887,0.9182030558586121,0.9808652997016907,0.9230310320854187,0.7675342559814453,0.8487757444381714,2.0,3.0,5.0,7.280109889280518
C8J7L5,C,4,,,,,,,,,,,,,
C8O0P2,C,4,,,,,,,,,,,,,
C8P3S7,A,1,Train,0.9939642548561096,0.9429749846458435,0.8969923257827759,0.9453049302101135,0.9880008697509766,0.892102837562561,0.8132239580154419,0.8962826728820801,2.449489742783178,6.082762530298219,3.605551275463989,9.0
C8V5W8,C,4,,,,,,,,,,,,,
D0E2W0,C,4,,,,,,,,,,,,,
D0H9I4,B,2,Train,0.9940705299377441,0.9644781947135925,0.9141533970832825,0.9441226720809937,0.9882109761238098,0.9313934445381165,0.8418807983398438,0.8941593766212463,2.23606797749979,3.1622776601683795,3.0,4.242640687119285
D0R0R9,A,1,Train,0.9899137616157532,0.912649929523468,0.8853279948234558,0.8725573420524597,0.9800289273262024,0.8393340706825256,0.7942497730255127,0.7739260792732239,2.8284271247461903,5.0,5.830951894845301,8.12403840463596
D1H2O9,C,4,Test,0.9886961579322815,0.9441956281661987,0.8366473913192749,0.8968963623046875,0.9776450395584106,0.8942903280258179,0.7191691994667053,0.813066303730011,4.0,4.123105625617661,8.12403840463596,18.788294228055936
D1H6U2,A,1,Valid,0.9846795201301575,0.8919077515602112,0.8240118622779846,0.8701519966125488,0.9698213934898376,0.8049039244651794,0.7006974220275879,0.7701496481895447,5.0,6.782329983125268,12.727922061357855,7.0
D1J5P6,A,1,Train,0.992073118686676,0.9628183245658875,0.8904275894165039,0.9387685060501099,0.9842709898948669,0.9283024668693542,0.8024961352348328,0.8846029043197632,4.0,3.0,3.0,5.0990195135927845
D1L4Q9,B,2,Train,0.9922553300857544,0.961733877658844,0.9099137187004089,0.9410022497177124,0.98462975025177,0.9262884259223938,0.8347172141075134,0.8885781168937683,4.0,3.0,5.744562646538029,5.0
D1L6T4,D,5,Test,0.9856756925582886,0.8852033019065857,0.7966148853302002,0.9011997580528259,0.9717559814453125,0.794049084186554,0.6619783043861389,0.820167064666748,3.0,8.06225774829855,11.224972160321824,22.737634001804146
D1M1S6,A,1,Train,0.9922236800193787,0.9598405361175537,0.8741971850395203,0.9119735360145569,0.984567403793335,0.9227821230888367,0.7765100598335266,0.8381905555725098,2.0,3.0,4.123105625617661,7.280109889280518
D1R0Y5,B,3,Valid,0.9924473762512207,0.9642890095710754,0.8860766291618347,0.9450206160545349,0.9850080013275146,0.9310406446456909,0.7954556345939636,0.8957716226577759,4.0,3.0,3.1622776601683795,8.0
D1S5T8,D,5,Valid,0.9676264524459839,0.8811268210411072,0.47416290640830994,0.7717095613479614,0.9372832179069519,0.7875127196311951,0.3107559084892273,0.628279447555542,4.0,26.248809496813376,26.019223662515376,65.46754921333164
D2U0V0,C,4,Valid,0.9868741631507874,0.9221779108047485,0.8817349076271057,0.9001820087432861,0.9740884304046631,0.8555938601493835,0.7884846925735474,0.8184826970100403,4.0,12.041594578792296,7.0,5.0
D3D4Y5,A,1,Train,0.9941748976707458,0.9707332253456116,0.8850997686386108,0.9488465785980225,0.9884172677993774,0.9431308507919312,0.7938824892044067,0.9026718139648438,4.0,3.1622776601683795,28.75760768909681,4.123105625617661
D3F3O5,A,1,Train,0.9928991198539734,0.9707258343696594,0.9058560132980347,0.9043498635292053,0.9858983159065247,0.9431168437004089,0.8279130458831787,0.8254002332687378,3.1622776601683795,3.1622776601683795,4.242640687119285,14.317821063276353
D3F9H9,A,1,Train,0.9923809170722961,0.9527328014373779,0.8848278522491455,0.9498425722122192,0.9848770499229431,0.9097322821617126,0.7934450507164001,0.9044763445854187,2.23606797749979,3.0,3.1622776601683795,4.0
D3K5Q2,C,4,Test,0.975180983543396,0.8149889707565308,0.6166189908981323,0.865616500377655,0.9515641331672668,0.6877480149269104,0.44573330879211426,0.7630721926689148,3.0,12.36931687685298,12.24744871391589,8.602325267042627
D3O9U9,A,1,Train,0.9921349287033081,0.9543378949165344,0.90718013048172,0.9036700129508972,0.9843926429748535,0.9126637578010559,0.8301277756690979,0.8242682814598083,2.0,4.0,3.1622776601683795,5.0
D3Q0W9,B,3,Test,0.9891396164894104,0.9280493855476379,0.8239652514457703,0.9360907673835754,0.9785125851631165,0.8657575845718384,0.7006300091743469,0.8798596262931824,2.449489742783178,5.0990195135927845,24.1039415863879,4.358898943540674
D4M3Q2,A,1,Train,0.9913820028305054,0.9717053771018982,0.9072146415710449,0.9276835918426514,0.9829112887382507,0.9449678659439087,0.8301855325698853,0.865121066570282,4.47213595499958,3.0,2.8284271247461903,7.615773105863909
D4N6W6,A,1,Train,0.9927282333374023,0.9664729833602905,0.9029422998428345,0.9397904872894287,0.9855614304542542,0.9351211190223694,0.8230581283569336,0.8864195942878723,4.123105625617661,2.449489742783178,2.8284271247461903,11.180339887498949
D5G3W8,C,4,Valid,0.9933597445487976,0.9195892810821533,0.8915050029754639,0.9361148476600647,0.986807107925415,0.8511478304862976,0.8042480945587158,0.879902184009552,4.0,9.0,4.47213595499958,5.0
D6E9U8,B,2,Test,0.9803898930549622,0.9222827553749084,0.8125017285346985,0.9015917778015137,0.9615341424942017,0.8557742834091187,0.6842129826545715,0.820816695690155,6.0,4.123105625617661,5.0990195135927845,10.0
D6H6O2,B,2,Train,0.9902600049972534,0.963234543800354,0.9125664234161377,0.9136362075805664,0.9807079434394836,0.929076611995697,0.839192807674408,0.841003954410553,7.615773105863909,3.1622776601683795,2.23606797749979,4.898979485566356
D6N7Q8,C,4,Valid,0.990389347076416,0.9199060201644897,0.8735675811767578,0.8826090693473816,0.9809616804122925,0.8516907095909119,0.7755171060562134,0.7898838520050049,4.0,40.36087214122113,33.37663853655727,13.0
D7M8P9,C,4,Valid,0.9840680360794067,0.9295238256454468,0.8110522627830505,0.8649443984031677,0.9686357975006104,0.8683273792266846,0.6821597218513489,0.7620282173156738,4.0,7.280109889280518,5.385164807134504,20.273134932713294
