External code,Vendor,Centre,Dice_BG,Dice_LV,Dice_RV,Dice_MYO,IoU_BG,IoU_LV,IoU_RV,IoU_MYO,HD_BG,HD_LV,HD_RV,HD_MYO
G7I5V7,A,1,0.9947236776351929,0.9692803025245667,0.916100800037384,0.9577507376670837,0.9895027279853821,0.9403917789459229,0.8451900482177734,0.9189267158508301,3.3166247903554,2.8284271247461903,2.8284271247461903,4.123105625617661
G7N8R7,B,2,0.9667049050331116,0.6563780903816223,0.6491974592208862,0.7276968359947205,0.9355555176734924,0.4885139763355255,0.48060131072998047,0.5719524025917053,4.0,9.219544457292887,13.92838827718412,13.92838827718412
G7Q2W0,B,2,0.9707722067832947,0.7102582454681396,0.7246967554092407,0.8197176456451416,0.943204402923584,0.5506980419158936,0.5682544112205505,0.6945098042488098,9.0,9.055385138137417,7.0710678118654755,17.378147196982766
G7S6V0,A,1,0.993567943572998,0.9671803116798401,0.8696855306625366,0.9520252346992493,0.9872180819511414,0.9364464282989502,0.7694190740585327,0.9084428548812866,3.0,3.1622776601683795,3.0,3.605551275463989
G8K0M3,D,5,0.9685647487640381,0.8662008047103882,0.7453999519348145,0.8582263588905334,0.9390456080436707,0.7639808058738708,0.5941335558891296,0.7516607046127319,5.0,5.196152422706632,8.06225774829855,8.306623862918075
G8L0Z0,D,5,0.9837348461151123,0.894914448261261,0.7470113635063171,0.8917988538742065,0.9679902791976929,0.8098146319389343,0.5961836576461792,0.8047265410423279,5.0,6.708203932499369,16.15549442140351,11.224972160321824
G8N2U5,B,3,0.9823721051216125,0.9191489219665527,0.770921528339386,0.905158519744873,0.965354859828949,0.8503937125205994,0.6272354125976562,0.8267484307289124,10.0,10.862780491200215,13.152946437965905,13.076696830622021
G8R0Z9,C,4,0.9831281900405884,0.925506591796875,0.8023437261581421,0.8657611012458801,0.9668163061141968,0.8613423109054565,0.669928252696991,0.7632970213890076,3.1622776601683795,8.660254037844387,5.744562646538029,10.0
G9L0O9,B,2,0.9662163257598877,0.7293519973754883,0.6982966661453247,0.707942008972168,0.9346407651901245,0.5740000009536743,0.5364484190940857,0.5479181408882141,8.0,8.06225774829855,12.206555615733702,10.246950765959598
G9N5V9,A,1,0.9942248463630676,0.9694255590438843,0.8707592487335205,0.8984664082527161,0.9885159730911255,0.9406653046607971,0.7711015343666077,0.815650463104248,2.23606797749979,3.0,3.3166247903554,11.489125293076057
H0K3Q4,B,3,0.9845671057701111,0.9188984632492065,0.8380243182182312,0.9036468863487244,0.9696033596992493,0.84996497631073,0.7212064266204834,0.8242297768592834,4.0,6.4031242374328485,6.48074069840786,9.486832980505138
H1I3W0,A,1,0.9930691123008728,0.9351606369018555,0.9061378240585327,0.9367842078208923,0.9862335920333862,0.8782175779342651,0.8283839225769043,0.8810856938362122,2.0,3.605551275463989,5.0990195135927845,5.385164807134504
H1J5W8,B,2,0.9672341346740723,0.663355827331543,0.5777738094329834,0.5823282599449158,0.9365473389625549,0.49628451466560364,0.4062460958957672,0.41076385974884033,8.0,11.445523142259598,10.677078252031311,30.692018506445613
H1M5Y6,B,2,0.9604315161705017,0.6568087339401245,0.7050479650497437,0.6895407438278198,0.9238752126693726,0.4889912009239197,0.5444587469100952,0.5261824727058411,9.0,8.94427190999916,10.63014581273465,17.916472867168917
H1N7P7,C,4,,,,,,,,,,,,
H1N8S6,A,1,0.9928963780403137,0.9700111746788025,0.9011257290840149,0.9091062545776367,0.9858928918838501,0.9417685866355896,0.8200443983078003,0.8333591222763062,3.0,2.23606797749979,3.0,6.4031242374328485
H1W2Y1,B,2,0.9457060694694519,0.5243871212005615,0.5367789268493652,0.5738016366958618,0.8970041871070862,0.3553690016269684,0.3668474853038788,0.4023294448852539,7.0710678118654755,18.384776310850235,10.0,16.822603841260722
H2M9S1,C,4,0.9785954356193542,0.8741746544837952,0.552992045879364,0.7494770884513855,0.9580879211425781,0.7764745354652405,0.3821624219417572,0.5993309617042542,3.0,7.280109889280518,10.816653826391969,11.0
H3R6S9,C,4,0.9748969078063965,0.912272036075592,0.7487652897834778,0.7705602049827576,0.9510233402252197,0.8386950492858887,0.5984211564064026,0.6267572045326233,5.0,9.0,10.295630140987,9.433981132056603
H3U1Y1,B,3,0.9882909655570984,0.9194779396057129,0.798924446105957,0.9238791465759277,0.9768530130386353,0.8509571552276611,0.665174126625061,0.8585273623466492,4.47213595499958,16.76305461424021,10.44030650891055,10.198039027185569
H4I2T8,B,3,0.9818478226661682,0.9359474778175354,0.8744453191757202,0.8408619165420532,0.9643429517745972,0.8796064853668213,0.7769016623497009,0.7254199981689453,4.0,5.916079783099616,5.0,9.055385138137417
H5N0P0,A,1,0.9937313795089722,0.9759579300880432,0.9086223840713501,0.9566549062728882,0.9875408411026001,0.9530447721481323,0.8325462937355042,0.9169113039970398,7.280109889280518,3.0,2.23606797749979,2.8284271247461903
H6I0I6,B,2,0.9752604365348816,0.7958297729492188,0.7953448295593262,0.8399913907051086,0.9517154693603516,0.6608947515487671,0.6602261662483215,0.7241251468658447,4.0,7.681145747868608,7.810249675906654,13.076696830622021
